"[N1, N1f, N1e]","[N2, N2f]",P,SFratio,CoolerdT,dutycon1,dutyreb1,dutycon2,dutyreb2,coolerduty,vac1duty,vac2duty,ttduty,RR1,top1T,top1F,bot1T,bot1F,D1,RR2,top2T,top2F,bot2T,bot2F,D2,Cap_column1,Cap_column2,Cap_con1,Cap_con2,Cap_reb1,Cap_reb2,Cap_cooler,Cap_vacuum1,Cap_vacuum2,Eng_cw1,Eng_cw2,Eng_st1,Eng_st2,Eng_cooler,Eng_vacuum1,Eng_vacuum2,Entrainer,Cost,totCap,totEng,case,RR1a,RR2a,Costa,RR1b,RR2b,Costb,RR1c,RR2c,Costc,RR1d,RR2d,Costd,F1,Xfi1,FIsx1,F2,Xfi2,FIsx2,F3,Xfi3,FIsx3,F4,Xfi4,FIsx4,F,Xfi,FIs,TACnew,△RR1a,△RR2a,△IPA1,△H2O1,△RR1b,△RR2b,△IPA2,△H2O2,△RR1c,△RR2c,△IPA3,△H2O3,△RR1d,△RR2d,△IPA4,△H2O4
"[41,35,5]","[41,10]",7.18,1.99,-105.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,
"[41,35,5]","[41,10]",7.18,1.99,-105.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,
"[41,35,5]","[41,10]",7.18,1.99,-105.0,-10.9725,13.6046,-3.6452,4.6267,-2.9632,1.9649e-07,4.6922e-08,35.8121,4.1938,338.4,832.5,408.7,4217.7,1.6135,0.7495,353.7,834.17,438.0,3383.6,1.0845,431629.0,282624.0,192056.0,67596.0,279972.0,163047.0,46381.0,32441.0,32441.0,9366.0,10393.0,383195.0,305313.0,9000.0,97.0,23.0,18.0,1093156.0,384871.0,708267.0,0.0,3.8619,1.6982,1833001.0,6.2794,9.9905,1445126.0,8.0157,0.8798,1441890.0,3.9831,0.7499,1680232.0,1708.34,0.5125,0.125015,527.37,0.8418,3.4179,1041.67,0.3125,-1.875,1669.28,0.4992,-0.007828,1669.28,0.4992,0.007828,1680232.0,-0.0792,1.2659,0.0506,-0.0006,0.4973,12.3298,-0.4673,-0.8999,0.9113,0.1738,-0.6094,-0.1406,-0.0502,0.0006,0.0,0.0031
"[45,31,7]","[44,9]",15.15,1.436,-121.0,-3.1218,5.8137,-3.3018,4.2697,-2.7502,0.0,0.0,19.2571,0.5449,356.0,832.5,425.5,3227.5,0.8061,0.6201,373.3,834.17,465.1,2393.4,0.8601,222778.0,234260.0,58892.0,48571.0,136309.0,71805.0,35358.0,32441.0,32441.0,8841.0,9351.0,382306.0,337475.0,7789.0,0.0,0.0,18.0,1028942.0,290951.0,737973.0,0.0,0.5335,0.6461,1039503.0,0.5185,1.2813,901414.0,0.5863,10.0,648054.0,0.5337,0.6434,1039070.0,1666.68,0.5,1.5e-05,1147.34,0.6558,1.558,60.05,0.018,-4.8198,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,1039503.0,-0.0209,0.042,0.0,0.0,-0.0485,1.0663,-0.0971,-0.5261,0.076,15.1262,-0.9987,-0.9292,-0.0206,0.0376,0.0,0.0
"[47,43,17]","[38,10]",16.35,1.1399,-134.0,-3.3186,5.7681,-2.9576,3.8504,-2.4035,0.0,0.0,18.2981,0.651,357.9,832.5,422.9,2734.0,0.7842,0.4549,375.4,834.17,468.1,1899.8,0.8015,224366.0,192013.0,59467.0,44168.0,284608.0,69334.0,34585.0,32441.0,32441.0,9398.0,8376.0,359006.0,304337.0,6807.0,0.0,0.0,18.0,1005610.0,324474.0,681118.0,0.0,0.6436,10.0,2600100.0,0.6431,10.0,2600012.0,0.3604,10.0,2299770.0,0.6431,10.0,2600036.0,1666.68,0.5,1.5e-05,1666.66,0.5,0.0,1167.62,0.3503,-1.4971,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,2600100.0,-0.0112,20.9831,0.0,0.0,-0.0121,20.9831,0.0,0.0,-0.4464,20.9831,-0.5092,-0.0897,-0.0121,20.9831,0.0,0.0
"[48,39,8]","[26,9]",14.42,1.0253,-130.0,-2.9122,5.0495,-2.9829,3.8212,-2.0845,7.5342e-09,1.7843e-09,16.8504,0.4365,354.7,832.5,416.4,2543.0,0.7712,0.4613,371.9,834.17,463.2,1708.8,0.8146,224324.0,141124.0,57420.0,46175.0,188580.0,65506.0,32221.0,32441.0,32441.0,8247.0,8448.0,314283.0,302025.0,5903.0,4.0,1.0,18.0,906431.0,273411.0,633002.0,0.0,0.4316,10.0,2505824.0,0.3437,10.0,719379.0,0.353,9.9946,593520.0,0.4313,10.0,2505793.0,1666.68,0.5,1.5e-05,467.93,0.8596,3.5962,68.13,0.0204,-4.7956,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,2505824.0,-0.0112,20.677,0.0,0.0,-0.2126,20.677,-0.5173,-0.9212,-0.1913,20.6652,-0.9983,-0.9199,-0.0119,20.677,0.0,0.0
"[47,43,16]","[42,10]",14.79,1.1436,-127.0,-3.2884,5.5901,-2.9716,3.8526,-2.2821,0.0,0.0,17.9848,0.6248,355.4,832.5,419.7,2740.2,0.787,0.457,372.6,834.17,464.1,1906.0,0.8161,225228.0,213007.0,61499.0,45692.0,232522.0,66524.0,32988.0,32441.0,32441.0,9313.0,8415.0,347927.0,304510.0,6463.0,0.0,0.0,18.0,984297.0,314114.0,670165.0,0.0,0.6208,10.0,2583775.0,0.621,0.9983,1080667.0,0.4632,0.4692,852165.0,0.621,10.0,2583819.0,1666.68,0.5,1.5e-05,1666.66,0.5,0.0,1239.4,0.3718,-1.2818,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,2583775.0,-0.0065,20.884,0.0,0.0,-0.0061,1.1847,0.0,0.0,-0.2587,0.0268,-0.447,-0.0657,-0.0061,20.884,0.0,0.0
"[36,23,7]","[47,9]",6.34,2.3216,-109.0,-3.0852,6.5002,-3.9237,4.9289,-3.8091,2.1757e-07,5.2022e-08,22.2472,0.451,335.6,832.5,407.3,4703.6,1.0994,0.8769,350.6,834.17,433.8,3869.4,1.1625,256881.0,341332.0,91295.0,74808.0,167152.0,149262.0,57217.0,32441.0,32441.0,8737.0,11112.0,404574.0,324124.0,10787.0,105.0,25.0,18.0,1149508.0,400943.0,748547.0,0.0,0.4452,0.8876,1161046.0,0.4452,0.9369,1168112.0,0.477,10.0,832405.0,0.4452,0.8879,1161087.0,1666.68,0.5,1.5e-05,1666.66,0.5,0.0,91.26,0.0274,-4.7262,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,1161046.0,-0.0128,0.0122,0.0,0.0,-0.0128,0.0685,0.0,0.0,0.0577,10.4038,-0.997,-0.8935,-0.0128,0.0126,0.0,0.0
"[41,35,6]","[48,7]",7.0,1.2,-129.0,-3.6859,5.8184,-3.7614,4.5758,-2.3048,2.0108e-07,4.8031e-08,20.1462,0.7424,337.8,832.5,397.6,2834.2,1.0127,0.804,353.0,834.17,437.1,2000.0,1.0718,262721.0,318609.0,96038.0,69735.0,126364.0,157230.0,58637.0,32441.0,32441.0,10438.0,10652.0,362137.0,300903.0,6527.0,97.0,23.0,18.0,1068888.0,384739.0,684131.0,0.0,0.7214,0.9234,1089617.0,0.8193,10.0,809146.0,0.7214,1.5298,1176350.0,0.7214,0.9238,1089685.0,1666.68,0.5,1.5e-05,470.24,0.8589,3.5893,1666.66,0.5,0.0,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,1089617.0,-0.0282,0.1485,0.0,0.0,0.1036,11.4379,-0.5153,-0.9204,-0.0282,0.9028,0.0,0.0,-0.0282,0.149,0.0,0.0
"[42,31,8]","[40,8]",19.95,2.1409,-130.0,-2.7425,7.063,-4.4868,5.6518,-4.4672,0.0,0.0,24.4113,0.3843,363.1,832.5,443.8,4402.3,0.828,1.2224,381.1,834.17,476.1,3568.2,0.9545,216314.0,241568.0,48781.0,54598.0,271658.0,97856.0,46440.0,32441.0,32441.0,7767.0,12707.0,464465.0,446717.0,12651.0,0.0,0.0,18.0,1279039.0,347365.0,931655.0,0.0,0.38,1.3456,1311483.0,0.38,2.0483,1427632.0,0.38,1.9474,1410958.0,0.38,1.3494,1312123.0,1666.68,0.5,1.5e-05,1666.66,0.5,0.0,1666.66,0.5,0.0,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,1311483.0,-0.0112,0.1008,0.0,0.0,-0.0111,0.6757,0.0,0.0,-0.0112,0.5931,0.0,0.0,-0.0112,0.104,0.0,0.0
"[42,32,12]","[25,10]",3.49,1.5475,-99.0,-2.9126,4.7706,-3.8636,4.6894,-2.2461,2.8592e-07,6.8733e-08,18.4823,0.3323,323.3,832.5,383.3,3413.4,1.1234,0.8215,336.8,834.17,415.0,2579.2,1.3217,299458.0,228471.0,56891.0,101856.0,88995.0,170496.0,50258.0,32441.0,32441.0,103221.0,10942.0,296924.0,291869.0,6361.0,138.0,33.0,18.0,1056743.0,353769.0,702956.0,0.0,10.0,1.5319,3225994.0,10.0,1.3071,3194888.0,10.0,1.2694,3189666.0,10.0,0.9016,3138842.0,1666.68,0.5,1.5e-05,1666.66,0.5,0.0,1666.66,0.5,0.0,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,3225994.0,29.0969,0.8647,0.0,0.0,29.0969,0.591,0.0,0.0,29.0969,0.5451,0.0,0.0,29.0969,0.0975,0.0,0.0
"[36,27,9]","[48,9]",4.89,1.6702,-105.0,-2.9665,5.2278,-3.3782,4.2574,-2.6074,2.5297e-07,6.0637e-08,18.4373,0.3776,330.1,832.5,393.8,3617.8,1.0517,0.6054,344.5,834.17,425.4,2783.6,1.1494,245004.0,343253.0,108895.0,76785.0,110328.0,110995.0,49038.0,32441.0,32441.0,8401.0,9567.0,325377.0,279966.0,7384.0,122.0,29.0,18.0,993056.0,369727.0,623311.0,0.0,0.3718,0.6276,1002864.0,0.2861,1.1478,900788.0,0.2795,10.0,658541.0,0.3731,0.5829,999652.0,1666.8,0.5,0.000381,1223.97,0.6328,1.3281,62.95,0.0189,-4.8111,1677.09,0.4969,-0.031265,1666.8,0.5,0.000381,1002864.0,-0.0154,0.0366,0.0002,0.0,-0.2425,0.8958,-0.0706,-0.4607,-0.2599,15.517,-0.9986,-0.9259,-0.012,-0.0372,0.0,0.0125
"[41,35,7]","[24,9]",14.7,1.025,-119.0,-3.3082,5.2957,-3.0462,3.8866,-1.9296,0.0,0.0,17.4665,0.6339,355.2,832.5,417.0,2542.5,0.7834,0.4932,372.4,834.17,463.9,1708.3,0.8186,199824.0,132317.0,61895.0,46526.0,199379.0,66739.0,28021.0,32441.0,32441.0,9369.0,8626.0,329610.0,307200.0,5464.0,0.0,0.0,18.0,926815.0,266528.0,660269.0,0.0,0.6341,0.5353,933880.0,0.5203,10.0,738112.0,0.5885,10.0,595620.0,0.6331,0.5351,933710.0,1666.68,0.5,1.5e-05,494.86,0.8515,3.5154,78.17,0.0235,-4.7655,1666.68,0.5,-1.5e-05,1666.68,0.5,1.5e-05,933880.0,Avg.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,6.5015,0.0051,-0.0001,2.9152,6.991,-0.1668,-0.3728,2.8946,8.4937,-0.5558,-0.3965,2.8932,6.2908,0.0,0.0016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,0.0853,0.0,0.0,-0.1792,19.2733,-0.4943,-0.9118,-0.0717,19.2732,-0.9978,-0.9084,2628.1828,0.0137,-0.9996,-0.9996
